id_proposal;title_ca;title_es;title_en;authors_ids;authors_nicknames;comments;created_at;published_at;endorsements_ids;endorsements_nicknames;number_of_comments
158;Ordenació dels vehicles de mobilitat personal;;;;;"4283;5199;7347;7350;7362;7380;7422";2016/01/29T:14:26:08;2018/04/04T:14:22:42;;;7
159;Xarxa de carrils bici;;;;;"4278;4577;6317;6657;9772;15955;15958";2016/01/29T:14:26:08;2018/04/04T:14:22:42;;;7
160;Reducció del trànsit a la via Laietana;;;;;"301;5241;7382;7388;18111;18244;18245;18247;18248;18249;18250;18251;18252";2016/01/29T:14:26:08;2018/04/04T:14:22:42;24512;fernanda_zanuzzi;13
161;Millora de l’eficiència energètica dels equipaments municipals;;;;;;2016/01/29T:14:26:08;2018/04/04T:14:22:42;;;0
162;Transparència en subvencions, contractacions, concessions i convenis;;;;;"777;4583";2016/01/29T:14:26:08;2018/04/04T:14:22:42;;;2
163;Potenciar els consells de barri;;;;;;2016/01/29T:14:26:09;2018/04/04T:14:22:42;;;0
164;Proves pilot per a pressupostos participatius;;;;;;2016/01/29T:14:26:09;2018/04/04T:14:22:42;;;0
165;Fomentar l’ús de programari lliure als equipaments de proximitat;;;;;;2016/01/29T:14:26:09;2018/04/04T:14:22:42;;;0
166;Desplegament del programa de transversalitat de gènere al Districte;;;;;"5406;9717;9727;9739;9746;9774;9783;9792;9804";2016/01/29T:14:26:09;2018/04/04T:14:22:42;;;9
167;Unitat de prevenció de l’exclusió residencial i la pobresa energètica;;;;;"6895;17391";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;2
168;Model integral d'intervenció;;;;;"6991;8562";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;2
169;Atenció a la pobresa energètica i habitacional;;;;;"3949;12670";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;2
170;Lluitar contra la feminització de la pobresa;;;;;;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;0
171;Pla d’actuació contra el sensellarisme;;;;;"6982;8207;8585";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;3
172;Adaptació de la senyalística als equipaments;;;;;7458;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;1
173;Protocol de participació de les entitats de persones amb diversitat funcional;;;;;"7459;7460;10270;10273;10277;10279";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;6
174;Dinamitzar la taula de persones amb discapacitat funcional;;;;;"7461;7462;10268;10276";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;4
175;Festes majors inclusives;;;;;"1829;7463;7464;7465";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;4
176;Teatre infantil accessible;;;;;"7473;7474";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;2
177;Projecte d'exposicions inclusives als centres cívics;;;;;"7469;7470;7471;7472;10274";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;5
178;Escola La Model;;;;;1058;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;1
179;Instituts Viladomat i Angeleta Ferrer;;;;;"275;1611;1730;2196;3282;5119;5985;6742;6943;7509;7510;7569;7604;7681;7693;7702;7707;7771;7784;7800;7990;8052;8054;8206;8862;8950;9042;9213;9252;9296;9387;9449;9572;9659;9845;10170;10365;10502;10527;10720;11125;11151;11240;11250;11474;11579;11604;11746;11852;12579;12580;12628;12635;12676";2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;55
180;Revisar les àrees d’influència del mapa escolar;;;;;;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;0
181;EBM Els Encants;;;;;2862;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;1
182;EBM Germanetes;;;;;;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;0
183;EBM Tres Tombs;;;;;;2016/01/29T:14:26:30;2018/04/04T:14:22:42;;;0
184;"Projectes d'espais familiars, ""Ja tenim un fill"" o altres nous espais de criança";;;;;"374;6979";2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;2
185;Pla d’absentisme i pla jove;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
186;Incrementar l'oferta de CFGM, de CFGS i de les escoles d’adults;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
187;Millorar l’oferta del CRP i de la participació dels centres;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
188;Programa de música a les escoles;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
189;"Potenciar els projectes ""Suport a la lectura"", ""Camí escolar"" i ""Patis oberts""";;;;;296;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;1
190;Millorar la participació de la comunitat educativa;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
191;Elaborar pressupostos amb visió de gènere;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
192;Donar suport a les iniciatives per combatre la violència a les dones grans;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
193;Dissenyar un projecte singular de gènere al Centre Cívic Sagrada Família;;;;;9853;2016/01/29T:14:26:31;2018/04/04T:14:22:42;30227;MLF;1
194;Potenciar el programa XEiX i altres;;;;;9864;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;1
195;Millorar el programa de gent gran;;;;;"5931;6039;6949;6950;6951;11343";2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;6
196;Promoure processos participatius per gestionar els casals;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
197;Potenciar la plataforma en línia de la comunitat de voluntaris;;;;;6047;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;1
198;"Projecte ""Radars""";;;;;"5351;11346";2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;2
199;Millorar els serveis d'àpats en companyia;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
200;Casals per a gent gran Bayer i Germanetes;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
201;Obrir casals al Fort Pienc o a la Dreta, o reubicar el Casal Carlit;;;;;;2016/01/29T:14:26:31;2018/04/04T:14:22:42;;;0
